count,year,language
1,2010,en
2,2010,nl
3,2010,nl
4,2010,nl
5,2010,nl
6,2010,nl
7,2010,nl
8,2010,nl
9,2010,nl
10,2010,nl
11,2010,en
12,2010,nl
13,2010,en
1,2011,en
2,2011,en
3,2011,nl
4,2011,nl
5,2011,nl
6,2011,nl
7,2011,nl
8,2011,nl
9,2011,nl
10,2011,en
11,2011,nl
12,2011,en
13,2011,en
1,2012,nl
2,2012,nl
3,2012,en
4,2012,en
5,2012,nl
6,2012,en
7,2012,en
8,2012,nl
9,2012,nl
10,2012,nl
11,2012,en
12,2012,nl
13,2012,en
14,2012,nl
15,2012,nl
16,2012,nl
17,2012,fr
18,2012,en
1,2013,nl
2,2013,nl
3,2013,nl
4,2013,nl
5,2013,en
6,2013,nl
7,2013,nl
8,2013,nl
9,2013,nl
10,2013,nl
11,2013,en
12,2013,en
13,2013,en
14,2013,nl
15,2013,nl
16,2013,fr
17,2013,en
18,2013,en
19,2013,nl
20,2013,en
21,2013,nl
22,2013,nl
23,2013,en
24,2013,nl
25,2013,fr
26,2013,nl
27,2013,fr
1,2014,en
2,2014,nl
3,2014,nl
4,2014,nl
5,2014,nl
6,2014,nl
7,2014,en
8,2014,nl
9,2014,en
10,2014,en
11,2014,en
12,2014,en
1,2015,nl
2,2015,nl
3,2015,fr
4,2015,nl
5,2015,nl
6,2015,nl
7,2015,en
8,2015,fr
9,2015,nl
10,2015,fr
11,2015,fr
12,2015,nl
13,2015,en
14,2015,nl
15,2015,en
16,2015,en
17,2015,fr
18,2015,fr
19,2015,fr
20,2015,fr
21,2015,nl
22,2015,nl
1,2016,nl
2,2016,en
3,2016,nl
4,2016,nl
5,2016,en
6,2016,fr
7,2016,en
8,2016,fr
9,2016,fr
10,2016,en
11,2016,nl
12,2016,nl
13,2016,en
14,2016,en
15,2016,en
16,2016,fr
17,2016,en
18,2016,fr
19,2016,nl
20,2016,fr
21,2016,fr
22,2016,nl
23,2016,nl
24,2016,nl
25,2016,nl
26,2016,en
1,2017,nl
2,2017,nl
3,2017,fr
4,2017,en
5,2017,nl
6,2017,fr
7,2017,nl
8,2017,fr
9,2017,en
10,2017,fr
11,2017,nl
12,2017,nl
13,2017,en
14,2017,nl
15,2017,fr
16,2017,fr
17,2017,fr
18,2017,en
19,2017,nl
20,2017,fr
21,2017,nl
22,2017,nl
1,2018,fr
2,2018,en
3,2018,fr
4,2018,nl
5,2018,en
6,2018,nl
7,2018,en
8,2018,en
9,2018,fr
10,2018,en
1,2019,nl
2,2019,en
3,2019,nl
4,2019,nl
5,2019,en
6,2019,nl
7,2019,nl
8,2019,nl
9,2019,en
10,2019,en
11,2019,fr
12,2019,en
13,2019,nl
14,2019,en
15,2019,nl
16,2019,en
17,2019,fr
18,2019,en
19,2019,nl
20,2019,en
21,2019,fr
22,2019,nl
23,2019,nl
24,2019,nl
25,2019,nl
26,2019,en
27,2019,nl
28,2019,nl
